"","elapsed.time","NH3_30s.bg","DATE","TIME","FRAC_DAYS_SINCE_JAN1","FRAC_HRS_SINCE_JAN1","JULIAN_DAYS","EPOCH_TIME","ALARM_STATUS","INST_STATUS","CavityPressure","CavityTemp","DasTemp","EtalonTemp","WarmBoxTemp","species","MPVPosition","OutletValve","solenoid_valves","NH3","NH3_30s","NH3_5min","H2O","CO2","NH3_raw","NH3_dry","nh3_base_11","date.time","id","Vid","treat","NH3.corr","date.time.weather","date","time","temp","air.flow","A.frame","air.temp.K","n","flux","flux.tr","flux.time","cum.emis"
"11",13.3,42.1585079803333,"2022-11-25","00:01:24.444",328.00097736,7872.023457,329.00097736,1669334484.444,0,899,140.00096512,45.000055396,26.1875,45.178062439,45.000381138,2,1,35022.601095,1,234.9307202,235.04167347,237.35360817,0.92143641827,193.44347666,234.9307202,234.9307202,706.16670709,2022-11-25 00:01:24,"1","0","DFC",192.883165489667,"2022-11-25 00:00:00","2022-11-25","00:00:00",6.7,3000,0.38465,279.85,8.39946431908661e-09,0.000917577877640585,0.00095613291356605,0.076490633085284,1.22284469078229
"12",14.7,40.057010194,"2022-11-25","01:21:22.743",328.05651323,7873.356318,329.05651323,1669339282.743,0,899,139.99906921,45.000267029,26,45.177757263,44.999778748,2,1,35021.359375,1,217.81615414,218.12866082,220.69874787,0.91218658024,196.13370569,217.81615414,217.81615414,705.89312508,2022-11-25 01:21:22,"1","0","DFC",178.071650626,"2022-11-25 01:00:00","2022-11-25","01:00:00",6.7,3000,0.38465,279.85,7.75446873176743e-09,0.000847116993515509,0.000882347435578047,0.0705877948462438,1.29343248562854
"13",16,39.2777458826667,"2022-11-25","02:41:19.661",328.11203312,7874.688795,329.11203312,1669344079.662,0,899,140.0012047,44.999277198,25.625,45.177695067,44.999900818,2,1,35005.5038,1,190.75247284,190.76817666,192.208249,0.89564035804,209.95001536,190.75247284,190.75247284,705.82509974,2022-11-25 02:41:19,"1","0","DFC",151.490430777333,"2022-11-25 03:00:00","2022-11-25","03:00:00",6.4,3000,0.38465,279.55,6.60401848072980e-09,0.000721439014590184,0.000784278004052846,0.0627422403242277,1.35617472595276
"14",17.3,40.0337631996667,"2022-11-25","04:01:17.426",328.1675628,7876.021507,329.1675628,1669348877.426,0,899,139.99665849,45.001579285,25.3125,45.178062439,44.999687195,2,1,34992.929008,1,185.47509989,185.4654211,185.68886837,0.89628714373,223.05603123,185.47509989,185.47509989,705.76550309,2022-11-25 04:01:17,"1","0","DFC",145.431657900333,"2022-11-25 04:00:00","2022-11-25","04:00:00",6.3,3000,0.38465,279.45,6.34216325440167e-09,0.000692833313834093,0.000707136164212138,0.0565708931369711,1.41274561908973
"15",18.7,38.829180652,"2022-11-25","05:21:15.108",328.22309154,7877.354197,329.22309154,1669353675.109,0,899,140.00259051,45.001713628,25.75,45.179245161,45.001208927,2,1,35006.418584,1,183.76576519,184.00170856,186.70046701,0.918329557,203.46360151,183.76576519,183.76576519,705.66894291,2022-11-25 05:21:15,"1","0","DFC",145.172527908,"2022-11-25 05:00:00","2022-11-25","05:00:00",6.8,3000,0.38465,279.95,6.31955566257091e-09,0.000690363605607165,0.000691598459720629,0.0553278767776503,1.46807349586739
"16",20,36.9454643533333,"2022-11-25","06:41:12.822",328.27862063,7878.686895,329.27862063,1669358472.822,0,899,140.00390393,45.001426697,25.4375,45.17766571,44.999443054,2,1,35008.993631,1,167.23266133,167.36707565,168.4301958,0.89362959539,192.88288148,167.23266133,167.23266133,705.58765131,2022-11-25 06:41:12,"1","0","DFC",130.421611296667,"2022-11-25 07:00:00","2022-11-25","07:00:00",6.8,3000,0.38465,279.95,5.67742839550053e-09,0.000620216063750869,0.000655289834679017,0.0524231867743214,1.52049668264171
"17",21.3,36.9383166006667,"2022-11-25","08:01:10.282",328.33414678,7880.019523,329.33414678,1669363270.282,0,899,139.99860415,45.000260395,25.375,45.17843263,45.000419617,2,1,35010.953847,1,158.15597676,158.34310991,161.61804932,0.89559543862,204.8466793,158.15597676,158.15597676,705.4764483,2022-11-25 08:01:10,"1","0","DFC",121.404793309333,"2022-11-25 08:00:00","2022-11-25","08:00:00",6.9,3000,0.38465,280.05,5.2830270320332e-09,0.000577130701127618,0.000598673382439244,0.0478938705951395,1.56839055323685
"18",22.7,36.087231216,"2022-11-25","09:21:08.266",328.389679,7881.352296,329.389679,1669368068.266,0,899,140.00786184,45.000450134,25.933763587,45.17754364,44.999595642,2,1,35036.888077,1,160.73251273,160.49711057,163.44757565,0.89115630604,205.09129387,160.73251273,160.73251273,705.71426632,2022-11-25 09:21:08,"1","0","DFC",124.409879354,"2022-11-25 09:00:00","2022-11-25","09:00:00",7.2,3000,0.38465,280.35,5.40800250954484e-09,0.000590783325754127,0.000583957013440873,0.0467165610752698,1.61510711431212
"19",24,35.0845469913333,"2022-11-25","10:41:04.201",328.44518752,7882.684501,329.44518752,1669372864.202,0,899,140.00486747,44.999687195,26.125,45.177391052,44.999687195,2,1,35049.37086,1,147.66291688,148.11180847,152.8653253,0.88503929411,206.76711705,147.66291688,147.66291688,705.70505366,2022-11-25 10:41:04,"1","0","DFC",113.027261478667,"2022-11-25 11:00:00","2022-11-25","11:00:00",7.4,3000,0.38465,280.55,4.9097062425476e-09,0.00053634823159359,0.000563565778673858,0.0450852622939087,1.66019237660602
"20",25.3,34.265281025,"2022-11-25","12:01:02.898",328.500728,7884.017472,329.500728,1669377662.899,0,899,139.99771226,45.000480652,26.0625,45.176780701,44.99886322,2,1,35029.527131,1,133.44858584,133.16175084,136.76174065,0.91362290608,201.47355223,133.44858584,133.44858584,705.50114711,2022-11-25 12:01:02,"1","0","DFC",98.896469815,"2022-11-25 12:00:00","2022-11-25","12:00:00",7.3,3000,0.38465,280.45,4.29742119078494e-09,0.000469460725799824,0.000502904478696707,0.0402323582957366,1.70042473490176
"21",26.7,33.4337538493333,"2022-11-25","13:21:00.453",328.55625524,7885.350126,329.55625524,1669382460.453,0,899,140.00321131,44.999412537,25.816915761,45.17653656,44.998649597,2,1,35021.729726,0.92934782609,122.00895008,122.28677752,125.09546369,0.91539996354,215.07625306,122.00895008,122.00895008,705.33117411,2022-11-25 13:21:00,"1","0","DFC",88.8530236706667,"2022-11-25 13:00:00","2022-11-25","13:00:00",7,3000,0.38465,280.15,3.86513048973212e-09,0.000422236239936547,0.000445848482868186,0.0356678786294548,1.73609261353122
"22",28,32.625092346,"2022-11-25","14:40:57.681",328.61177873,7886.682689,329.61177873,1669387257.682,0,899,140.00232697,45.000022888,25.75,45.177360535,44.999320984,2,1,35021.962891,1,107.72682758,107.68226529,111.71282616,0.91462686008,220.43529791,107.72682758,107.72682758,705.23973814,2022-11-25 14:40:57,"1","0","DFC",75.057172944,"2022-11-25 15:00:00","2022-11-25","15:00:00",6.5,3000,0.38465,279.65,3.27084493013689e-09,0.000357315042373184,0.000389775641154866,0.0311820512923892,1.76727466482361
"23",29.3,32.79755311,"2022-11-25","16:00:54.990",328.66730313,7888.015275,329.66730313,1669392054.99,0,899,140.00554682,44.999264095,25.533627717,45.177501347,44.999691839,2,1,35026.008683,1,102.4605962,102.753091,105.833271,0.90845133599,203.30435305,102.4605962,102.4605962,705.14987283,2022-11-25 16:00:54,"1","0","DFC",69.95553789,"2022-11-25 16:00:00","2022-11-25","16:00:00",6.4,3000,0.38465,279.55,3.04961615518805e-09,0.000333147473814162,0.000345231258093673,0.0276185006474939,1.7948931654711
"24",30.7,33.356293156,"2022-11-25","17:20:51.788",328.72282162,7889.347719,329.72282162,1669396851.788,0,899,140.00006634,44.999961853,25.5625,45.177482605,44.999473572,2,1,35029.472529,1,99.179170966,99.572344336,102.83824923,0.911095823,215.65903971,99.179170966,99.179170966,705.1969752,2022-11-25 17:20:51,"1","0","DFC",66.21605118,"2022-11-25 17:00:00","2022-11-25","17:00:00",6.4,3000,0.38465,279.55,2.88659833805885e-09,0.000315339011634126,0.000324243242724144,0.0259394594179316,1.82083262488903
"25",32,33.5537634583333,"2022-11-25","18:40:49.517",328.7783509,7890.680422,329.7783509,1669401649.518,0,899,140.00241528,45.000282122,25.6875,45.177953471,45.000236511,2,1,35040.221595,1,96.819030452,96.97762095,100.370805,0.90636351222,248.01795205,96.819030452,96.819030452,705.24965618,2022-11-25 18:40:49,"1","0","DFC",63.4238574916667,"2022-11-25 19:00:00","2022-11-25","19:00:00",6.5,3000,0.38465,279.65,2.7638877750048e-09,0.000301933811762587,0.000308636411698357,0.0246909129358686,1.8455235378249
"26",33.3,32.979082692,"2022-11-25","20:00:47.154",328.83387911,7892.013099,329.83387911,1669406447.155,0,899,140.00203415,45.00151825,25.875,45.177055359,44.999076843,2,1,35056.091287,1,90.367443313,90.577340659,94.02521787,0.91752565727,227.80658753,90.367443313,90.367443313,705.22925075,2022-11-25 20:00:47,"1","0","DFC",57.598257967,"2022-11-25 20:00:00","2022-11-25","20:00:00",6.5,3000,0.38465,279.65,2.510019531333e-09,0.000274200628385716,0.000288067220074152,0.0230453776059322,1.86856891543083
"27",34.6,32.8769257103333,"2022-11-25","21:20:44.910",328.88940868,7893.345808,329.88940868,1669411244.91,0,899,139.99535635,44.999160767,25.8125,45.177832894,44.999969151,2,1,35064.119905,1,88.676519492,88.867466382,92.245034968,0.92259622311,241.20519215,88.676519492,88.676519492,705.23371791,2022-11-25 21:20:44,"1","0","DFC",55.9905406716667,"2022-11-25 21:00:00","2022-11-25","21:00:00",6.5,3000,0.38465,279.65,2.43995835319007e-09,0.000266546975164129,0.000270373801774923,0.0216299041419938,1.89019881957283
"28",36,32.7169262263333,"2022-11-25","22:40:42.391",328.94493508,7894.678442,329.94493508,1669416042.391,0,899,139.99376728,44.998558044,26,45.177696228,45.000083923,2,1,35077.834303,1,86.403279708,86.456693164,90.18184934,0.92756279298,245.63661594,86.403279708,86.403279708,705.17800311,2022-11-25 22:40:42,"1","0","DFC",53.7397669376667,"2022-11-25 23:00:00","2022-11-25","23:00:00",6.6,3000,0.38465,279.75,2.34103690100428e-09,0.000255740555528117,0.000261143765346123,0.0208915012276898,1.91109032080051
"29",37.3,32.0491012223333,"2022-11-26","00:00:39.864",329.00046139,7896.011073,330.00046139,1669420839.864,0,899,139.99874049,45.001226508,26.125,45.177640003,44.999959697,2,1,35091.855957,1,84.687936098,84.38204277,88.179691452,0.93303784664,242.36900514,84.687936098,84.687936098,705.17498529,2022-11-26 00:00:39,"1","0","DFC",52.3329415476667,"2022-11-26 00:00:00","2022-11-26","00:00:00",6.6,3000,0.38465,279.75,2.27975211435681e-09,0.000249045656624164,0.000252393106076141,0.0201914484860912,1.93128176928661
"30",38.6,31.115225289,"2022-11-26","01:20:37.285",329.05598709,7897.34369,330.05598709,1669425637.285,0,899,139.99765811,44.99773407,25.9375,45.177146912,44.999473572,2,1,35094.173064,1,82.200664276,82.817127237,86.706162458,0.92385217997,239.69811337,82.200664276,82.200664276,705.06506421,2022-11-26 01:20:37,"1","0","DFC",51.701901948,"2022-11-26 01:00:00","2022-11-26","01:00:00",6.6,3000,0.38465,279.75,2.25226247171418e-09,0.000246042621312043,0.000247544138968103,0.0198035311174483,1.95108530040405
"31",40,30.0319042546667,"2022-11-26","02:40:33.963",329.1115042,7898.676101,330.1115042,1669430433.963,0,899,139.99758397,45.000469374,25.6875,45.176784018,44.9990994,2,1,35094.744778,1,75.73108746,76.330365922,80.616918799,0.90170066677,235.64609547,75.73108746,75.73108746,705.07402119,2022-11-26 02:40:33,"1","0","DFC",46.2984616673333,"2022-11-26 03:00:00","2022-11-26","03:00:00",5.9,3000,0.38465,279.05,2.02193462889186e-09,0.000220881048484333,0.000233461834898188,0.018676946791855,1.96976224719591
"32",41.3,29.3711334716667,"2022-11-26","04:00:33.020",329.16704885,7900.009172,330.16704885,1669435233.021,0,899,139.9936239,44.999259949,25.5,45.178825378,45.000968933,2,1,35087.84876,1,74.120476244,74.539461819,78.320121685,0.89144835048,244.03784043,74.120476244,74.120476244,705.26950553,2022-11-26 04:00:33,"1","0","DFC",45.1683283473333,"2022-11-26 04:00:00","2022-11-26","04:00:00",5.6,3000,0.38465,278.75,1.97470269007615e-09,0.000215721316800387,0.00021830118264236,0.0174640946113888,1.9872263418073
"33",42.6,28.589789996,"2022-11-26","05:20:30.369",329.22257373,7901.341769,330.22257373,1669440030.37,0,899,140.0029675,45.000632079,25.125,45.177787283,44.999748396,2,1,35080.938498,1,70.874055965,71.310743894,75.488923316,0.84521165341,253.75036474,70.874055965,70.874055965,705.03835766,2022-11-26 05:20:30,"1","0","DFC",42.720953898,"2022-11-26 05:00:00","2022-11-26","05:00:00",5.2,3000,0.38465,278.35,1.87039051575508e-09,0.000204326001588665,0.000210023659194526,0.0168018927355621,2.00402823454286
"34",44,27.7643556836667,"2022-11-26","06:40:27.494",329.27809601,7902.674304,330.27809601,1669444827.495,0,899,140.00380781,44.998954773,24.8125,45.178001404,44.99962616,2,1,35074.897992,1,68.372070022,68.871200113,73.019312604,0.82393395407,239.00795119,68.372070022,68.372070022,705.03378253,2022-11-26 06:40:27,"1","0","DFC",41.1068444293333,"2022-11-26 07:00:00","2022-11-26","07:00:00",4.5,3000,0.38465,277.65,1.80425965326752e-09,0.00019710170559279,0.000200713853590727,0.0160571082872582,2.02008534283012
"35",45.3,28.2088963583333,"2022-11-26","08:00:24.573",329.33361775,7904.006826,330.33361775,1669449624.574,0,899,140.00083724,45.000328064,24.3125,45.178825378,45.000816345,2,1,35067.597189,1,65.517991247,65.870166474,70.03342261,0.80400091477,262.47020103,65.517991247,65.517991247,705.1142858,2022-11-26 08:00:24,"1","0","DFC",37.6612701156667,"2022-11-26 08:00:00","2022-11-26","08:00:00",4.2,3000,0.38465,277.35,1.65481469234045e-09,0.000180775975181633,0.000188938840387211,0.0151151072309769,2.0352004500611
"36",46.6,30.9135563133333,"2022-11-26","09:20:22.512",329.38914944,7905.339587,330.38914944,1669454422.512,0,899,139.99493757,45.000480652,24.4375,45.179130554,45.000846863,2,1,35073.182575,1,67.384871729,67.757955835,71.839410378,0.81661468538,270.36016177,67.384871729,67.384871729,705.07612558,2022-11-26 09:20:22,"1","0","DFC",36.8443995216667,"2022-11-26 09:00:00","2022-11-26","09:00:00",4.2,3000,0.38465,277.35,1.61892186513254e-09,0.000176854955583143,0.000178815465382388,0.014305237230591,2.04950568729169
"37",48,35.1074035506667,"2022-11-26","10:40:19.868",329.4446744,7906.672186,330.4446744,1669459219.868,0,899,139.99508435,45.00006203,26.037703804,45.180174952,45.002232759,2,1,35131.870818,1,81.407846353,81.879534407,87.678310521,0.91418240942,234.78752158,81.407846353,81.407846353,705.16952161,2022-11-26 10:40:19,"1","0","DFC",46.7721308563333,"2022-11-26 11:00:00","2022-11-26","11:00:00",6,3000,0.38465,279.15,2.04188886043036e-09,0.000223060897190094,0.000199957926386619,0.0159966341109295,2.06550232140262
"38",49.3,34.7961358116667,"2022-11-26","12:00:17.555",329.50020318,7908.004876,330.50020318,1669464017.555,0,899,140.00063316,45.000694275,27.9375,45.179985046,45.002738953,2,1,35199.635721,1,93.372432996,93.197595465,93.569150769,1.0253338263,213.13140039,93.372432996,93.372432996,705.31015351,2022-11-26 12:00:17,"1","0","DFC",58.4014596533333,"2022-11-26 12:00:00","2022-11-26","12:00:00",7.3,3000,0.38465,280.45,2.53776166890985e-09,0.000277231246857555,0.000250146072023825,0.020011685761906,2.08551400716452
"39",50.6,32.2166765273333,"2022-11-26","13:20:15.140",329.55573079,7909.337539,330.55573079,1669468815.14,0,899,140.00175012,44.998376266,27.597826087,45.175590515,44.998274098,2,1,35194.20856,1,70.823351962,71.615186508,78.133146508,0.99059111323,210.35598659,70.823351962,70.823351962,705.15471594,2022-11-26 13:20:15,"1","0","DFC",39.3985099806667,"2022-11-26 13:00:00","2022-11-26","13:00:00",7.8,3000,0.38465,280.95,1.70896566366399e-09,0.000186691558777401,0.000231961402817478,0.0185569122253982,2.10407091938992
"40",52,30.4445126923333,"2022-11-26","14:40:12.674",329.61125781,7910.670187,330.61125781,1669473612.675,0,899,139.9972229,44.998130798,27.1875,45.175285339,44.997917175,2,1,35180.373047,1,67.298034155,67.466309518,71.812354303,0.97940575303,237.60066575,67.298034155,67.298034155,705.16652295,2022-11-26 14:40:12,"1","0","DFC",37.0217968256667,"2022-11-26 15:00:00","2022-11-26","15:00:00",7.3,3000,0.38465,280.45,1.60873542298497e-09,0.000175742163908413,0.000181216861342907,0.0144973489074325,2.11856826829735
"41",53.3,30.1225939463333,"2022-11-26","16:00:10.039",329.66678286,7912.002789,330.66678286,1669478410.039,0,899,139.99545686,45.000572205,26.9375,45.177177429,44.999687195,2,1,35165.89623,1,66.989334898,67.202194146,71.231981519,0.97059439839,235.97401142,66.989334898,66.989334898,705.06872829,2022-11-26 16:00:10,"1","0","DFC",37.0796001996667,"2022-11-26 16:00:00","2022-11-26","16:00:00",7.1,3000,0.38465,280.25,1.61239705978674e-09,0.000176142170003756,0.000175942166956084,0.0140753733564867,2.13264364165384
"42",54.6,29.947180962,"2022-11-26","17:20:07.378",329.72230762,7913.335383,330.72230762,1669483207.378,0,899,140.00176504,44.997764587,26.375,45.176170349,44.998832703,2,1,35145.265328,1,63.168887937,63.631513486,67.893006833,0.93322040882,244.95596302,63.168887937,63.168887937,705.04317209,2022-11-26 17:20:07,"1","0","DFC",33.684332524,"2022-11-26 17:00:00","2022-11-26","17:00:00",7,3000,0.38465,280.15,1.46527754809282e-09,0.000160070477313441,0.000168106323658598,0.0134485058926879,2.14609214754653
"43",56,30.0918152606667,"2022-11-26","18:40:05.197",329.77783794,7914.668111,330.77783794,1669488005.198,0,899,139.99744084,44.999961853,26.3125,45.177238464,44.999687195,2,1,35142.05231,1,65.254263399,65.865675451,70.245505636,0.94553773943,225.6206276,65.254263399,65.254263399,705.18018272,2022-11-26 18:40:05,"1","0","DFC",35.7738601903333,"2022-11-26 19:00:00","2022-11-26","19:00:00",6.5,3000,0.38465,279.65,1.55895492256655e-09,0.000170304021166616,0.000165187249240028,0.0132149799392023,2.15930712748573
"44",57.3,31.2061296783333,"2022-11-26","20:00:02.174",329.83335851,7916.000604,330.83335851,1669492802.175,0,899,140.0023428,44.998832703,26.1875,45.178184509,45.000450134,2,1,35133.037385,1,64.005146413,64.385425822,68.639449355,0.94980366877,237.02758927,64.005146413,64.005146413,705.06830383,2022-11-26 20:00:02,"1","0","DFC",33.1792961436667,"2022-11-26 20:00:00","2022-11-26","20:00:00",6.5,3000,0.38465,279.65,1.44588889136542e-09,0.000157952413373363,0.000164128217269989,0.0131302573815992,2.17243738486733
"45",58.6,31.7796850553333,"2022-11-26","21:19:59.273",329.88888047,7917.333131,330.88888047,1669497599.273,0,899,140.00316487,44.998893738,26.5625,45.17754364,45.000236511,2,1,35143.158458,1,66.578835684,66.84328783,71.54090064,0.96666655973,251.72722067,66.578835684,66.578835684,705.11207667,2022-11-26 21:19:59,"1","0","DFC",35.0636027746667,"2022-11-26 21:00:00","2022-11-26","21:00:00",7,3000,0.38465,280.15,1.52527617593009e-09,0.00016662487310594,0.000162288643239652,0.0129830914591721,2.1854204763265
"46",60,31.3710871563333,"2022-11-26","22:39:57.342",329.94441368,7918.665928,330.94441368,1669502397.342,0,899,139.99832153,44.99886322,26.625,45.176933289,44.99962616,2,1,35150.210938,1,67.300557011,67.86932491,72.313382193,0.97625107004,231.41354231,67.300557011,67.300557011,705.08502025,2022-11-26 22:39:57,"1","0","DFC",36.4982377536667,"2022-11-26 23:00:00","2022-11-26","23:00:00",7.4,3000,0.38465,280.55,1.58541951204388e-09,0.000173195077181945,0.000169909975143942,0.0135927980115154,2.19901327433802
"47",61.3,30.198668255,"2022-11-26","23:59:54.562",329.99993707,7919.99849,330.99993707,1669507194.563,0,899,140.00613403,45.001548767,26.5625,45.177238464,44.99962616,2,1,35150.46875,1,62.014166491,62.132606525,67.136628617,0.96405790677,245.26981984,62.014166491,62.014166491,705.01736632,2022-11-26 23:59:54,"1","0","DFC",31.93393827,"2022-11-27 00:00:00","2022-11-27","00:00:00",7.3,3000,0.38465,280.45,1.3876489553513e-09,0.000151590141346048,0.000162392609263996,0.0129914087411197,2.21200468307914
"48",62.6,29.6516405656667,"2022-11-27","01:19:52.687",330.05547091,7921.331302,331.05547091,1669511992.687,0,899,139.99677285,44.999595642,26.214334239,45.177482605,44.999382019,2,1,35125.514606,1,59.326723155,59.669741081,64.016264385,0.94523847184,279.03021715,59.326723155,59.326723155,704.97101306,2022-11-27 01:19:52,"1","0","DFC",30.0181005153333,"2022-11-27 01:00:00","2022-11-27","01:00:00",7.2,3000,0.38465,280.35,1.30486392046704e-09,0.000142546503118204,0.000147068322232126,0.0117654657785701,2.22377014885771
"49",64,29.7886792273333,"2022-11-27","02:39:49.611",330.11099087,7922.663781,331.11099087,1669516789.611,0,899,139.99610038,45.000321761,26.0625,45.177772854,45.000143632,2,1,35113.965863,1,61.423614819,61.7980339,66.058439266,0.93638778048,239.23299845,61.423614819,61.423614819,705.1010236,2022-11-27 02:39:49,"1","0","DFC",32.0093546726667,"2022-11-27 03:00:00","2022-11-27","03:00:00",6.7,3000,0.38465,279.85,1.39390823334686e-09,0.000152273920072946,0.000147410211595575,0.011792816927646,2.23556296578535
"50",65.3,28.9854200273333,"2022-11-27","03:59:47.427",330.16652115,7923.996508,331.16652115,1669521587.427,0,899,139.99854834,44.999809265,26.0625,45.177055359,44.999229431,2,1,35104.454314,0.95108695652,58.029689765,58.619887919,63.845463692,0.92475631724,238.32199899,58.029689765,58.029689765,705.05985101,2022-11-27 03:59:47,"1","0","DFC",29.6344678916667,"2022-11-27 04:00:00","2022-11-27","04:00:00",6.7,3000,0.38465,279.85,1.29048927126047e-09,0.000140976181534621,0.000146625050803783,0.0117300040643027,2.24729296984965
